"position","track_id","track_name","artists","artist_uris","album_name","album_id","album_uri","duration_ms","duration_min","playcount","content_rating","playable","preview_url","cover_url","track_uri","track_url"
"1038","00SsUlSL9CF09zkJvANZrT","House of Magic","Dino Lenny","spotify:artist:7il6z1RANNDWYlYnIevd4L","House of Magic","72EKH517ZJeh1Jhmksfgq2","spotify:album:72EKH517ZJeh1Jhmksfgq2","207868","3,46","191154","NONE","True","https://p.scdn.co/mp3-preview/1eeb4b585d367669bdc3d9f6ff7790ffc5142eff","https://i.scdn.co/image/ab67616d0000b273098d5b55509741846dcb754b","spotify:track:00SsUlSL9CF09zkJvANZrT","https://open.spotify.com/track/00SsUlSL9CF09zkJvANZrT"
"1039","6cg1PezjpVSRsRa7f9SnIP","Last Night (Korolova Remix)","Rivo; Korolova","spotify:artist:2NrprO4CludRmaWtpqud10; spotify:artist:0I6oCyQQ1Q50q97y9B9gAx","Last Night (Korolova Remix)","1xcEl66LnB3qYVJrkIf4Mf","spotify:album:1xcEl66LnB3qYVJrkIf4Mf","177142","2,95","11000565","NONE","True","https://p.scdn.co/mp3-preview/db3a3343d617f067b072066e7f40675168950fc9","https://i.scdn.co/image/ab67616d0000b2730829698fb95df267e52b77a1","spotify:track:6cg1PezjpVSRsRa7f9SnIP","https://open.spotify.com/track/6cg1PezjpVSRsRa7f9SnIP"
"1040","0iqHSOHIunWpe7uoxjwbXx","The Techno Code - Kevin de Vries & SLVR Remix","Enrico Sangiuliano; Kevin de Vries; SLVR","spotify:artist:1u7DsNFbakULvxnDGtMm90; spotify:artist:11aPF3sc8lDWNqPVInm4Zx; spotify:artist:4nKvbonPefiFmshjpHENVU","The Techno Code (Remixes)","3Li1RofrZtlvNEK8hBkMM4","spotify:album:3Li1RofrZtlvNEK8hBkMM4","289846","4,83","545783","NONE","True","https://p.scdn.co/mp3-preview/decd3c51236c98ce656c473c0431da0529948ff1","https://i.scdn.co/image/ab67616d0000b2730a12ea826c1050546d4cd9fa","spotify:track:0iqHSOHIunWpe7uoxjwbXx","https://open.spotify.com/track/0iqHSOHIunWpe7uoxjwbXx"
"1041","4mQw0wkyombRwP19uS2mLB","Time","Carlita","spotify:artist:1GVbOnrND8b3eh2JZ4opw8","Time","0Q4VYWUJUfB8nRz4XNNEEp","spotify:album:0Q4VYWUJUfB8nRz4XNNEEp","249749","4,16","12146330","NONE","True","https://p.scdn.co/mp3-preview/b640e35a99ed729ea1e7e39ddb394965aef6bb40","https://i.scdn.co/image/ab67616d0000b273cd28fdd7cfe8d57d9f97d6a6","spotify:track:4mQw0wkyombRwP19uS2mLB","https://open.spotify.com/track/4mQw0wkyombRwP19uS2mLB"
"1042","7MZLTcvw6bVGgibtBvx0Lp","BACKSEAT","RUBACK; Blake Light","spotify:artist:2fdRphXxW7ncxOnkX4J3Pg; spotify:artist:3Eg3uKwUyxwvM57CW2skbr","RUBACK BOX","3ygAcwWrBwxQX2fvjzPGvV","spotify:album:3ygAcwWrBwxQX2fvjzPGvV","192480","3,21","1377240","NONE","True","https://p.scdn.co/mp3-preview/4e2ad9b9d0349306e4005a5344f959c929f6bcfa","https://i.scdn.co/image/ab67616d0000b273082542de91a9117889f6b32a","spotify:track:7MZLTcvw6bVGgibtBvx0Lp","https://open.spotify.com/track/7MZLTcvw6bVGgibtBvx0Lp"
"1043","72fsISRF1G1vDUVPwbTgMO","Afterparty","ARTBAT","spotify:artist:3BkRu2TGd2I1uBxZKddfg1","Afterparty","4paVM4hXl2Lq9EhngKRpWy","spotify:album:4paVM4hXl2Lq9EhngKRpWy","298739","4,98","3453977","NONE","True","https://p.scdn.co/mp3-preview/9df652d896533221ccc2569c58a2005d3daf8f6c","https://i.scdn.co/image/ab67616d0000b273a838d4fb544a560e5b1a63e0","spotify:track:72fsISRF1G1vDUVPwbTgMO","https://open.spotify.com/track/72fsISRF1G1vDUVPwbTgMO"
"1044","1KcJZ5pjQU0NebeGyRrpz2","Cherophobia","Hozho","spotify:artist:4SxTtbkEKXwyhltXD7tnYQ","Cherophobia","1AB1Ed2v6dE9WhvPLpkjzH","spotify:album:1AB1Ed2v6dE9WhvPLpkjzH","446780","7,45","744507","NONE","True","https://p.scdn.co/mp3-preview/6a58938bc1277b1eea7019e4f6f709a8812495bf","https://i.scdn.co/image/ab67616d0000b273ef9c0696bb8d56d4da9542a3","spotify:track:1KcJZ5pjQU0NebeGyRrpz2","https://open.spotify.com/track/1KcJZ5pjQU0NebeGyRrpz2"
"1045","3MjcNnwikGmu3nionZRQdK","Rambla","Woo York","spotify:artist:3F4cmqlG4wCV3aEZlHHO8p","Rambla","3SfQrDtpcf257Fa3WTCKYz","spotify:album:3SfQrDtpcf257Fa3WTCKYz","160638","2,68","227790","NONE","True","https://p.scdn.co/mp3-preview/be1d9dca0d4dd4fece9eb8dbfc96bc1c35c955b4","https://i.scdn.co/image/ab67616d0000b27315db21c74eb458f682c2dd8f","spotify:track:3MjcNnwikGmu3nionZRQdK","https://open.spotify.com/track/3MjcNnwikGmu3nionZRQdK"
"1046","5uiETvzCNEWGZT94Tcwdvx","Menace - Edit","Hozho; Pulse (UK)","spotify:artist:4SxTtbkEKXwyhltXD7tnYQ; spotify:artist:1BVIYXNIdehq6lrSjvTSfC","Menace (Edit)","2yI5yJt5hg4r0GzmWHuRAB","spotify:album:2yI5yJt5hg4r0GzmWHuRAB","255811","4,26","851718","EXPLICIT","True","https://p.scdn.co/mp3-preview/2e770c639b1cf7e999ba47dd5331d584bfb77776","https://i.scdn.co/image/ab67616d0000b2730a1a041776931865cd5263bd","spotify:track:5uiETvzCNEWGZT94Tcwdvx","https://open.spotify.com/track/5uiETvzCNEWGZT94Tcwdvx"
"1047","6qbZ7ysOUC5OUuF9n5dOoz","Taking Over - Original Mix","Hozho","spotify:artist:4SxTtbkEKXwyhltXD7tnYQ","Be The Best & Fuck The Rest","06NkXfdOv8kXVIrB9JuPNL","spotify:album:06NkXfdOv8kXVIrB9JuPNL","448000","7,47","682580","NONE","True","https://p.scdn.co/mp3-preview/4b78cab07b4acc76149d3265226d67aa9a601504","https://i.scdn.co/image/ab67616d0000b2732d5d8a48db0d7d180ecd0208","spotify:track:6qbZ7ysOUC5OUuF9n5dOoz","https://open.spotify.com/track/6qbZ7ysOUC5OUuF9n5dOoz"
